Company_Name,Street_Address1,Street_Address2,City,State,Zip_Code
30 SECONDS Cleaners,1891 NW Commerce Ct,,Troutdale,OR,97060
Acme Construction Supply Company,330 SE Salmon St,,Portland,OR,97214
Alsco,505 E 200 S,,Salt Lake City,UT,84102
American Internation Forest Products,5560 SW 107th Ave,,Beaverton,OR,97005
AXA Advisors LLC,10500 NE 8th St,#1600,Bellevue,WA,98004
Beacon Hill Staffing Group,1 SW Columbia St,#600,Portland,OR,97258
"BMWC Constructors, Inc.",4488 NW Yeon Ave,,Portland,OR,97210
Bonaventure Senior Living,3425 SE Boone Rd,,Salem,OR,97317
"City of Portland, Oregon - Bureau of Environmental Services",1120 SW 5th Ave,,Portland,OR,97204
Colonial Life & Accident Insurance Company,10200 SW Greenburg Rd,,Portland,OR,97223
"Consolidated Electrical Distributors, Inc.",155 Garfield St,,Eugene,OR,97402
Consolidated Supply Company,7337 SW Kable Ln,,Tigard,OR,97224
Coyote Logistics,29100 W Town Center Loop,#290,Wilsonville,OR,97070
E & J Gallo Winery,600 Yosemite Blvd,,Modesto,CA,95354
Edward Jones Investments,130 Edawrd Jones Blvd,,Maryland Heights,MO,63043
Enterprise Holdings,20955 SW Gerda Ln,,Sherwood,OR,97140
Fisher Investments,5525 NW Fisher Creek Dr,,Camas,WA,98607
Foster Farms,1000 Davis St,,Livingston,CA,95334
Garmin International,2345 SE Turner Rd,,Salem,OR,97302
Internal Revenue Service (IRS),1660 SE Oak St,,Salem,OR,97301
Johnson & Associates Business Services,905 NW Kings Blvd,,Corvallis,OR,97330
Kohl's Corporation,410 SE Airport Rd,,Albany,OR,97322
Marten Transport Ltd.,29605 SW Kinsman Rd,,Wilsonville,OR,97070
Moss Adams,805 SW Broadway,,Portland,OR,97205
"NemaMetrix, Inc.",44 W 7th Ave,,Eugene,OR,97401
Northwest X Southern Hospitality,3528 Gateway St,,Springfield,OR,97477
Oregon State University,1500 SW Jefferson Way,,Corvallis,OR,97331
OSU Grad Business Programs,2751 SW Jefferson Way,,Corvallis,OR,97331
Pacific Office Automation,14747 NW Greenbrier Pkwy,,Beaverton,OR,97006
Progressive Insurance - Claims,6300 Wilson Mills Rd,,Cleveland,OH,44143
SAIF Corporation,400 SE High St,,Salem,OR,97312
Sherwin-Williams Company (Mid-Western Division),101 W Prospect Ave,,Cleveland,OH,44113
Simos Insourcing Solutions,9243 N Rivergate Blvd,,Portland,OR,97203
T-Mobile,12920 SE 38th St,,Bellevue,WA,98006
Target Corporation - Stores & Distribution,875 SW Beta Dr,,Albany,OR,97321
Techtronic Industries - NA (TTi),1428 Pearman Dairy Rd,,Anderson,SC,29625
Votion,3871 SW Hall Blvd,,Beaverton,OR,97005
XY Planning Network,135 E Main St,,Bozeman,MT,59715
