Company_Name,Street_Address1,Street_Address2,City,State,Zip_Code
Adidas,5055 N Greeley Ave,,Portland,OR,97217
Ankrom Moisan Architects,38 NW Davis St ,#300,Portland,OR,97209
Aquent,620 SW 5th Ave,#1115,Portland,OR,97204
Browzear,216 SW Madison Avenue,#10,Corvallis,OR,97333
Castellano Custom Furniture,10708 Northeast Halsey Street,,Portland,OR,97220
Columbia Sportswear Company,14375 NW Science Park Dr,,Portland,OR,97229
Contract Furnishings Mart,14160 SW 72nd Ave,,Tigard,OR,97224
Dillard's,1600 Cantrell Rd,,Little Rock,AR,72201
Kohls,N56 W17000 Ridgewood Drive ,,Menomonee Falls,WI,53051
Nike,1 Southwest Bowerman Drive,,Beaverton,OR,97006
Oregon State Graduate Business Programs,2751 SW Jefferson Way,,Corvallis,OR,97331
OSU Design Network,204 CH2M HILL Alumni Center,,Corvallis,OR,97331
PAE Consulting Engineers,522 Southwest 5th Avenue,,Portland,OR,97204
Mackenzie,1515 SE Water Avenue,#100,Portland,OR,97214
Pivot Archeitecture,44 West Broadway,#300,Eugene,OR,97401
Professional Experience Program,8835 Southwest Canyon Lane,,Portland,OR,97225
Sherwin Williams,12725 SW 66th Ave,,Portland,OR,97223
Target,33 6th Street North,,Minneapolis,MN,55402
Kroger,3800 SE 22nd Ave,,Portland,OR,97202
Williams-Sonoma Inc,3250 Van Ness Ave,,San Francisco,CA,94109
